Id,Predicted
0,american (traditional)
1,thai
2,thai
3,thai
4,italian
5,american (traditional)
6,american (traditional)
7,mediterranean
8,mexican
9,american (new)
10,chinese
11,mexican
12,chinese
13,chinese
14,american (new)
15,thai
16,american (traditional)
17,japanese
18,chinese
19,mexican
20,mexican
21,japanese
22,american (traditional)
23,japanese
24,american (traditional)
25,mexican
26,american (traditional)
27,italian
28,american (new)
29,italian
30,italian
31,mexican
32,american (traditional)
33,mediterranean
34,mexican
35,american (traditional)
36,american (new)
37,chinese
38,japanese
39,mexican
40,american (traditional)
41,chinese
42,mediterranean
43,chinese
44,american (new)
45,italian
46,american (traditional)
47,mediterranean
48,american (new)
49,mexican
50,american (new)
51,american (new)
52,american (traditional)
53,american (new)
54,chinese
55,italian
56,american (traditional)
57,italian
58,american (traditional)
59,italian
60,american (traditional)
61,italian
62,chinese
63,japanese
64,mexican
65,mexican
66,american (traditional)
67,mexican
68,japanese
69,italian
70,italian
71,italian
72,american (traditional)
73,american (traditional)
74,american (traditional)
75,american (traditional)
76,italian
77,chinese
78,chinese
79,mexican
80,japanese
81,mexican
82,mediterranean
83,mexican
84,american (traditional)
85,american (traditional)
86,chinese
87,japanese
88,japanese
89,mexican
90,japanese
91,american (new)
92,american (new)
93,mexican
94,american (traditional)
95,american (traditional)
96,japanese
97,thai
98,american (traditional)
99,italian
100,italian
101,mexican
102,american (traditional)
103,japanese
104,american (traditional)
105,chinese
106,mexican
107,american (traditional)
108,chinese
109,chinese
110,american (new)
111,american (traditional)
112,american (traditional)
113,chinese
114,chinese
115,mexican
116,american (new)
117,american (traditional)
118,mexican
119,mexican
120,canadian (new)
121,chinese
122,italian
123,japanese
124,japanese
125,chinese
126,american (traditional)
127,american (new)
128,mexican
129,american (traditional)
130,american (traditional)
131,american (traditional)
132,mexican
133,american (traditional)
134,mexican
135,canadian (new)
136,italian
137,italian
138,american (traditional)
139,italian
140,american (traditional)
141,italian
142,chinese
143,japanese
144,mexican
145,american (traditional)
146,mexican
147,american (traditional)
148,italian
149,mexican
150,chinese
151,canadian (new)
152,italian
153,mediterranean
154,mexican
155,mexican
156,chinese
157,mexican
158,thai
159,italian
160,chinese
161,mexican
162,italian
163,american (traditional)
164,canadian (new)
165,american (new)
166,american (traditional)
167,american (traditional)
168,american (traditional)
169,canadian (new)
170,mexican
171,american (traditional)
172,mediterranean
173,chinese
174,american (traditional)
175,mexican
176,chinese
177,american (traditional)
178,american (traditional)
179,mexican
180,canadian (new)
181,mexican
182,italian
